/c/devops/gsh/git/ncino-repo_nightly/
znightly_rob1
Updating 420dea128..9ef31615c
Fast-forward
 .../DataCloudGeoLocation.cleanDataService          | 244 +++----
 ...rce_Registry__mdt-NDOC__en_US.objectTranslation |   8 +-
 ...ation_Setting__c-SESOC__en_US.objectTranslation |   4 +
 ...SESOCSettings__c-SESOC__en_US.objectTranslation |   4 +
 ...m_BKK_Loan_Mapping__mdt-en_US.objectTranslation |   4 +
 .../cm_BKK_Scheduler__mdt-en_US.objectTranslation  |   4 +
 ...cm_CIE_Source_Fields__c-en_US.objectTranslation |   4 +
 .../cm_ERS__c-en_US.objectTranslation              |   4 +
 ...ortgages_and_Charges__c-en_US.objectTranslation |   4 +
 .../cm_People__c-en_US.objectTranslation           |   4 +
 ...BIDC__BI_Data__c-nBIDC__en_US.objectTranslation |   4 +
 ..._Capability__c-nCinoCB__en_US.objectTranslation |   4 +
 ...IGN__Layout__c-nDESIGN__en_US.objectTranslation |   4 +
 ...onfiguration__c-nFORCE__en_US.objectTranslation |   4 +
 ...ess_Activity__c-nFORCE__en_US.objectTranslation |   8 +-
 ...ess_Settings__c-nFORCE__en_US.objectTranslation |   4 +
 ...onfiguration__c-nFORCE__en_US.objectTranslation |   4 +
 ...shot_Archive__b-nFORCE__en_US.objectTranslation |   4 +
 ...Dependency__mdt-nFORCE__en_US.objectTranslation |   8 +-
 ..._Extension__mdt-nFORCE__en_US.objectTranslation |   4 +
 ...ORCE__Layout__c-nFORCE__en_US.objectTranslation |   4 +
 ..._Route_Terms__c-nFORCE__en_US.objectTranslation |   4 +
 ...onfiguration__c-nFORCE__en_US.objectTranslation |   4 +
 ...m_Properties__c-nFORCE__en_US.objectTranslation |   4 +
 ...n_Settings__c-nMONITOR__en_US.objectTranslation |   4 +
 objects/ContentVersion.object                      |   3 +
 objects/DevopsEnvironment.object                   | 213 ++++++
 objects/DevopsRequestInfo.object                   | 161 +++++
 objects/EmailMessage.object                        |  14 -
 objects/FlowOrchestrationInstance.object           |   3 +
 objects/FlowOrchestrationVersion.object            |  87 +++
 objects/Site.object                                |  28 +
 objects/SocialPost.object                          |  28 -
 objects/User.object                                | 104 +++
 objects/nFORCE__Field_Configuration__c.object      |  12 +-
 package.xml                                        | 792 ++++++++++++++++++++-
 permissionsets/Data_Services_PS.permissionset      | 256 +++++--
 .../Docusign_API_User_only.permissionset           | 256 +++++--
 .../Integration_User_API_Only.permissionset        | 256 +++++--
 .../Standard_Release_Deployments.permissionset     | 256 +++++--
 permissionsets/View_Modify_All_Data.permissionset  | 256 +++++--
 .../nCino_Communicator_Service.permissionset       | 256 +++++--
 profiles/Admin.profile                             |  26 +
 profiles/Analytics Cloud Integration User.profile  |  18 +
 profiles/ContractManager.profile                   |   4 +
 .../Customer Community Plus Login User.profile     |  13 +
 profiles/MarketingProfile.profile                  |   4 +
 profiles/SolutionManager.profile                   |   4 +
 profiles/Standard.profile                          |   4 +
 settings/Security.settings                         |   2 +-
 settings/SocialCustomerService.settings            |   2 +-
 sharingRules/DevopsEnvironment.sharingRules        |   2 +
 sharingRules/DevopsRequestInfo.sharingRules        |   2 +
 sharingRules/LLC_BI_CRIF_Error_Log__c.sharingRules |   2 +
 sharingRules/cm_CRIF_CCR_Result__c.sharingRules    |   2 +
 .../cm_Company_Report_Result__c.sharingRules       |   2 +
 ...noCB__Background_Tool_Execution__c.sharingRules |   2 +
 siteDotComSites/Customer_Portal1.site              | Bin 6172 -> 6172 bytes
 .../ProcessExceptionCategory.standardValueSet      |  10 +
 151 files changed, 3193 insertions(+), 680 deletions(-)
 create mode 100644 objects/DevopsEnvironment.object
 create mode 100644 objects/DevopsRequestInfo.object
 create mode 100644 objects/FlowOrchestrationVersion.object
 create mode 100644 sharingRules/DevopsEnvironment.sharingRules
 create mode 100644 sharingRules/DevopsRequestInfo.sharingRules
 create mode 100644 sharingRules/LLC_BI_CRIF_Error_Log__c.sharingRules
 create mode 100644 sharingRules/cm_CRIF_CCR_Result__c.sharingRules
 create mode 100644 sharingRules/cm_Company_Report_Result__c.sharingRules
 create mode 100644 sharingRules/nCinoCB__Background_Tool_Execution__c.sharingRules
/c/devops/gsh/git/ncino-repo_rob1/
rob1
Updating 6d45a7f80..7d7ebdc15
Fast-forward
 .../Create_Collateral_Prospect.customPermission    |   5 +
 flexipages/Relationship_Layout.flexipage           | 137 ++++++++-
 ...no_CM_Screen_Flow_Prospect_Record_Creation.flow | 325 ++++++++++++++++++---
 objects/Account.object                             |  30 ++
 package.xml                                        |   6 +
 permissionsets/HCL_Resource.permissionset          | 141 +++++++++
 profiles/SB%26A Branch.profile                     |  15 +
 profiles/SB%26A CCR Compliance.profile             |  15 +
 profiles/SB%26A Fulfillment.profile                |  15 +
 profiles/SB%26A Lending Support.profile            |  15 +
 profiles/SB%26A Readonly.profile                   |  15 +
 profiles/SB%26A Registration Team.profile          |  15 +
 profiles/SB%26A Sales.profile                      |  15 +
 profiles/SB%26A Sec Ops.profile                    |  15 +
 profiles/SB%26A Underwriting.profile               |  15 +
 profiles/Super User.profile                        |  15 +
 16 files changed, 752 insertions(+), 42 deletions(-)
 create mode 100644 customPermissions/Create_Collateral_Prospect.customPermission
 create mode 100644 permissionsets/HCL_Resource.permissionset
/c/devops/ps1a/git/ncino-repo/
znightly_preprod
Already up to date.
/c/devops/ps1u/git/ncino-repo_BOI_R1QA/
BOI_R1QA
Updating f5719452d..c70852312
Fast-forward
 flexipages/Business_Relationship_Layout.flexipage  | 997 ++++++++++++++++++---
 ...usiness_Relationship_Layout_Read_Only.flexipage | 836 ++++-------------
 flexipages/PersonsonAccount_Layout.flexipage       |   9 +-
 flexipages/Relationship_Layout_Read_Only.flexipage |  28 -
 profiles/SB%26A Branch.profile                     |   4 +-
 profiles/SB%26A CCR Compliance.profile             |   4 +-
 profiles/SB%26A Fulfillment.profile                |   8 +-
 profiles/SB%26A Lending Support.profile            |   4 +-
 profiles/SB%26A Readonly.profile                   |   4 +-
 profiles/SB%26A Registration Team.profile          |   8 +-
 profiles/SB%26A Sales.profile                      |   8 +-
 profiles/SB%26A Sec Ops.profile                    |   8 +-
 profiles/SB%26A Underwriting.profile               |   8 +-
 ...Salesforce API Only System Integrations.profile |  10 +
 profiles/Super User.profile                        |   8 +-
 15 files changed, 1088 insertions(+), 856 deletions(-)
/c/devops/ps1u/git/ncino-repo_BOI_SIT/
BOI_SIT
Updating 801ea0bc7..c16c96121
Fast-forward
 flexipages/PersonsonAccount_Layout.flexipage             |  2 +-
 profiles/SB%26A Branch.profile                           | 10 ++++++++++
 profiles/SB%26A CCR Compliance.profile                   | 10 ++++++++++
 profiles/SB%26A Fulfillment.profile                      | 10 ++++++++++
 profiles/SB%26A Lending Support.profile                  | 10 ++++++++++
 profiles/SB%26A Readonly.profile                         | 10 ++++++++++
 profiles/SB%26A Registration Team.profile                | 10 ++++++++++
 profiles/SB%26A Sales.profile                            | 10 ++++++++++
 profiles/SB%26A Sec Ops.profile                          | 10 ++++++++++
 profiles/SB%26A Underwriting.profile                     | 10 ++++++++++
 profiles/Salesforce API Only System Integrations.profile | 10 ++++++++++
 profiles/Super User.profile                              | 10 ++++++++++
 12 files changed, 111 insertions(+), 1 deletion(-)
/c/devops/ps1u/git/ncino-repo_Preprod/
BOI_PreProd
Already up to date.
/c/devops/ps1u/git/ncino-repo_Production/
Production
Already up to date.
/c/devops/ps1u/git/ncino-repo_r1dev/
R1DEV
Already up to date.
/c/devops/ps1u/git/ncino-repo_r2dev/
BOI_R2DEV
Already up to date.
/c/devops/ps1u/git/ncino-repo_r3dev/
r3dev
Already up to date.
/c/devops/ps1u/git/ncino-repo_spreads1/
spreads1
/c/devops/wkr2/git/ncino-repo/
BOI_R1QA
Updating f5719452d..c70852312
Fast-forward
 flexipages/Business_Relationship_Layout.flexipage  | 997 ++++++++++++++++++---
 ...usiness_Relationship_Layout_Read_Only.flexipage | 836 ++++-------------
 flexipages/PersonsonAccount_Layout.flexipage       |   9 +-
 flexipages/Relationship_Layout_Read_Only.flexipage |  28 -
 profiles/SB%26A Branch.profile                     |   4 +-
 profiles/SB%26A CCR Compliance.profile             |   4 +-
 profiles/SB%26A Fulfillment.profile                |   8 +-
 profiles/SB%26A Lending Support.profile            |   4 +-
 profiles/SB%26A Readonly.profile                   |   4 +-
 profiles/SB%26A Registration Team.profile          |   8 +-
 profiles/SB%26A Sales.profile                      |   8 +-
 profiles/SB%26A Sec Ops.profile                    |   8 +-
 profiles/SB%26A Underwriting.profile               |   8 +-
 ...Salesforce API Only System Integrations.profile |  10 +
 profiles/Super User.profile                        |   8 +-
 15 files changed, 1088 insertions(+), 856 deletions(-)
